Company Name ,Duration,Seed,Series A,Operational Cost,Total Fund,Revenue,Profit,Userbase,Daily Active User,ROE,Net Profit Margin,Valuation,,
Walton ,0,750000,0,120000,1000000,520000,400000,200000,46000,0,77%,1400000,,
Walton ,0.5,,0,120000,1000000,520000,400000,200000,46000,0,77%,1400000,,
Walton ,1,0,990000,120000,1000000,520000,400000,200000,46000,0,77%,1400000,,
Walton ,1.5,0,,220000,1000000,520000,300000,200000,46000,0,58%,1300000,,
Walton ,2,0,,220000,1000000,520000,300000,200000,46000,0,58%,1300000,,
Walton ,2.5,0,0,220000,1000000,520000,300000,200000,46000,0,58%,1300000,,
Walton ,3,0,0,220000,1000000,920000,700000,500000,115000,0,76%,1700000,,
Walton ,3.5,0,0,300000,2500000,920000,620000,500000,115000,0,67%,3120000,,
Walton ,4,0,0,300000,2500000,920000,620000,500000,115000,0,67%,3120000,,
Walton ,4.5,0,0,300000,2500000,920000,620000,500000,115000,0,67%,3120000,,
Walton ,5,0,0,300000,2500000,920000,620000,500000,115000,0,67%,3120000,,
Walton ,5.5,0,0,300000,2500000,920000,620000,500000,115000,0,67%,3120000,,
Walton ,6,0,0,400000,2500000,920000,520000,500000,115000,0,57%,3020000,,
Walton ,6.5,0,0,400000,2500000,920000,520000,500000,115000,0,57%,3020000,,
Walton ,7,0,0,400000,2500000,920000,520000,500000,115000,0,57%,3020000,,
Walton ,7.5,0,0,400000,2500000,920000,520000,500000,115000,0,57%,3020000,,
Walton ,8,0,0,400000,2500000,920000,520000,700000,161000,0,57%,3020000,,
Walton ,8.5,0,0,700000,2500000,1120000,420000,700000,161000,0,38%,2920000,,
Walton ,9,0,0,700000,5500000,1120000,420000,700000,161000,0,38%,5920000,,
Walton ,9.5,0,0,700000,5500000,1120000,420000,700000,161000,0,38%,5920000,,
Walton ,10,0,0,700000,5500000,1120000,420000,700000,161000,0,38%,5920000,,
Walton ,10.5,0,0,900000,5500000,1120000,220000,700000,161000,0,20%,5720000,,
Walton ,11,0,0,900000,5500000,1120000,220000,700000,161000,0,20%,5720000,,
Walton ,11.5,0,0,900000,5500000,1120000,220000,700000,161000,0,20%,5720000,,
Walton ,12,0,0,900000,5500000,1120000,220000,700000,161000,0,20%,5720000,,
Walton ,12.5,0,0,900000,5500000,1120000,220000,700000,161000,0,20%,5720000,,
Walton ,13,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,13.5,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,14,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,14.5,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,15,0,0,1000000,5500000,1120000,120000,700000,161000,0,11%,5620000,,
Walton ,15.5,0,0,1100000,5500000,1120000,20000,700000,161000,0,2%,5520000,,
Walton ,16,0,0,1100000,5500000,1120000,20000,700000,161000,0,2%,5520000,,
Walton ,16,0,0,1100000,5500000,1120000,20000,700000,161000,0,2%,5520000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17,0,0,1300000,6000000,1220000,-80000,900000,207000,0,-7%,5920000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,17.5,0,0,1350000,6500000,1955000,605000,920000,211600,0,31%,7105000,,
Walton ,18,0,0,1550000,6900000,2055000,505000,940000,216200,0,25%,7405000,,
